time, Vca,
47.753155, 1.645166,
47.758117, 1.645972,
47.763603, 1.649194,
47.769028, 1.645166,
47.774573, 1.643555,
47.780030, 1.648389,
47.785484, 1.645972,
47.791027, 1.653223,
47.796516, 1.658057,
47.801989, 1.654834,
47.807428, 1.661279,
47.812910, 1.652417,
47.818356, 1.654834,
47.823803, 1.657251,
47.829153, 1.654834,
47.834532, 1.657251,
47.839995, 1.654834,
47.845486, 1.656445,
47.850948, 1.654834,
47.856388, 1.654834,
47.861780, 1.653223,
47.867344, 1.652417,
47.872865, 1.654028,
47.878378, 1.652417,
47.883788, 1.654834,
47.889319, 1.653223,
47.894732, 1.654834,
47.900092, 1.650000,
47.905476, 1.654834,
47.910885, 1.650000,
47.916379, 1.652417,
47.921868, 1.654834,
47.927297, 1.654028,
47.932698, 1.654028,
47.938084, 1.650000,
47.943603, 1.654834,
47.949071, 1.650000,
47.954478, 1.650000,
47.959842, 1.652417,
47.965358, 1.650000,
47.970879, 1.654834,
47.976316, 1.652417,
47.981758, 1.654834,
47.987193, 1.653223,
47.992791, 1.649194,
47.998219, 1.652417,
48.003654, 1.650000,
48.009087, 1.654028,
48.014563, 1.650806,
48.020043, 1.652417,
48.025392, 1.653223,
48.030752, 1.650806,
48.036131, 1.654834,
48.041695, 1.654028,
48.047135, 1.648389,
48.052606, 1.654028,
48.058041, 1.653223,
48.063584, 1.653223,
48.069036, 1.654834,
48.074610, 1.652417,
48.080039, 1.650000,
48.085491, 1.650806,
48.091021, 1.653223,
48.096468, 1.654028,
48.101915, 1.654834,
48.107363, 1.645166,
48.112791, 1.650000,
48.118270, 1.652417,
48.123815, 1.640332,
48.129275, 1.645166,
48.134671, 1.645166,
48.140201, 1.644360,
48.145669, 1.645166,
48.151063, 1.645166,
48.156438, 1.645166,
48.161842, 1.644360,
48.167371, 1.643555,
48.172887, 1.641138,
48.178360, 1.640332,
48.183768, 1.645166,
48.189291, 1.645972,
48.194738, 1.641138,
48.200158, 1.644360,
48.205602, 1.645166,
48.211057, 1.643555,
48.216557, 1.644360,
48.222042, 1.645166,
48.227414, 1.641943,
48.232799, 1.647583,
48.238157, 1.641943,
48.243614, 1.645972,
48.249069, 1.645972,
48.254529, 1.647583,
48.260006, 1.645972,
48.265578, 1.645166,
48.271127, 1.647583,
48.276584, 1.647583,
48.282005, 1.643555,
48.287442, 1.644360,
48.292953, 1.647583,
48.298399, 1.641943,
48.303817, 1.649194,
48.309267, 1.645166,
48.314768, 1.645972,
48.320306, 1.643555,
48.325783, 1.647583,
48.331166, 1.647583,
48.336580, 1.648389,
48.342096, 1.645972,
48.347498, 1.644360,
48.352942, 1.647583,
48.358337, 1.648389,
48.363829, 1.647583,
48.369267, 1.649194,
48.374802, 1.647583,
48.380236, 1.647583,
48.385674, 1.648389,
48.391222, 1.647583,
48.396712, 1.647583,
48.402165, 1.645166,
48.407604, 1.647583,
48.413027, 1.648389,
48.418576, 1.641943,
48.424084, 1.647583,
48.429520, 1.656445,
48.434971, 1.654834,
48.440520, 1.658862,
48.445965, 1.657251,
48.451467, 1.654834,
48.456928, 1.654834,
48.462392, 1.657251,
48.467926, 1.654028,
48.473491, 1.654028,
48.478931, 1.654834,
48.484345, 1.650000,
48.489883, 1.657251,
48.495299, 1.653223,
48.500747, 1.653223,
48.506173, 1.654834,
48.511615, 1.656445,
48.517137, 1.654834,
48.522716, 1.654834,
48.528148, 1.654834,
48.533602, 1.650000,
48.539069, 1.654834,
48.544465, 1.654834,
48.549875, 1.654028,
48.555243, 1.654028,
48.560603, 1.653223,
48.566067, 1.648389,
48.571587, 1.650806,
48.577031, 1.650000,
48.582409, 1.654834,
48.587802, 1.653223,
48.593269, 1.653223,
48.598739, 1.652417,
48.604163, 1.652417,
48.609564, 1.656445,
48.615065, 1.650000,
48.620645, 1.654028,
48.626054, 1.653223,
48.631503, 1.654028,
48.636941, 1.654834,
48.642488, 1.650806,
48.647923, 1.656445,
48.653372, 1.653223,
48.658800, 1.652417,
48.664341, 1.649194,
48.669778, 1.653223,
48.675267, 1.657251,
48.680713, 1.650806,
48.686158, 1.652417,
48.691710, 1.654834,
48.697156, 1.650000,
48.702594, 1.654028,
48.708019, 1.652417,
48.713530, 1.652417,
48.718972, 1.654834,
48.724463, 1.653223,
48.729953, 1.654028,
48.735372, 1.654834,
48.740849, 1.650000,
48.746271, 1.654028,
48.751742, 1.643555,
48.757164, 1.643555,
48.762607, 1.641943,
48.768141, 1.643555,
48.773724, 1.645166,
48.779163, 1.643555,
48.784587, 1.640332,
48.790114, 1.643555,
48.795615, 1.645166,
48.801039, 1.644360,
48.806499, 1.640332,
48.811924, 1.645166,
48.817417, 1.647583,
48.822928, 1.647583,
48.828367, 1.641138,
48.833792, 1.645166,
48.839304, 1.641138,
48.844745, 1.643555,
