=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.14 18:16:06 =~=~=~=~=~=~=~=~=~=~=~=
************************************************************...temp init complete
Cx9000,cmd: Cx9000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->       9000,      uintl (  Cx)
unit_x, time, Von,
x_unit, 4.820304, 1.533179,
x_unit, 4.827127, 1.533179,
x_unit, 4.833951, 1.538013,
x_unit, 4.840881, 1.538013,
x_unit, 4.847765, 1.533984,
x_unit, 4.855215, 1.527539,
x_unit, 4.862244, 1.537207,
x_unit, 4.869288, 1.532373,
x_unit, 4.876220, 1.536401,
x_unit, 4.883247, 1.533179,
x_unit, 4.890315, 1.533984,
x_unit, 4.897289, 1.533984,
x_unit, 4.904242, 1.532373,
x_unit, 4.911298, 1.533179,
x_unit, 4.918243, 1.532373,
x_unit, 4.925210, 1.533984,
x_unit, 4.932008, 1.535596,
x_unit, 4.938927, 1.535596,
x_unit, 4.945764, 1.535596,
x_unit, 4.952577, 1.531567,
x_unit, 4.959939, 1.537207,
x_unit, 4.967014, 1.531567,
x_unit, 4.974094, 1.535596,
x_unit, 4.981095, 1.533984,
x_unit, 4.988113, 1.536401,
x_unit, 4.995094, 1.537207,
x_unit, 5.002033, 1.535596,
x_unit, 5.009007, 1.531567,
x_unit, 5.016015, 1.529956,
x_unit, 5.023108, 1.533984,
x_unit, 5.030102, 1.533984,
x_unit, 5.037116, 1.527539,
x_unit, 5.044100, 1.535596,
x_unit, 5.051042, 1.535596,
x_unit, 5.058009, 1.535596,
x_unit, 5.065091, 1.529150,
x_unit, 5.072646, 1.532373,
x_unit, 5.079634, 1.537207,
x_unit, 5.086683, 1.535596,
x_unit, 5.093640, 1.532373,
x_unit, 5.100610, 1.528345,
x_unit, 5.107627, 1.521094,
x_unit, 5.114655, 1.525928,
x_unit, 5.121712, 1.527539,
x_unit, 5.128664, 1.528345,
x_unit, 5.135633, 1.527539,
x_unit, 5.142659, 1.527539,
x_unit, 5.149603, 1.529150,
x_unit, 5.156515, 1.529150,
x_unit, 5.163526, 1.528345,
x_unit, 5.170549, 1.529150,
x_unit, 5.177691, 1.528345,
x_unit, 5.185226, 1.531567,
x_unit, 5.192291, 1.529150,
x_unit, 5.199265, 1.529150,
x_unit, 5.206242, 1.529956,
x_unit, 5.213290, 1.529150,
x_unit, 5.220358, 1.521899,
x_unit, 5.227340, 1.528345,
x_unit, 5.234339, 1.525122,
x_unit, 5.241349, 1.525122,
x_unit, 5.248329, 1.529150,
x_unit, 5.255290, 1.529150,
x_unit, 5.262363, 1.527539,
x_unit, 5.269393, 1.525928,
x_unit, 5.276358, 1.529956,
x_unit, 5.283295, 1.529956,
